outcode,county
IV1,Inverness-shire
IV10,Ross-shire
IV11,Cromartyshire
IV12,Nairnshire
IV13,Inverness-shire
IV14,Cromartyshire
IV15,Ross-shire
IV16,Ross-shire
IV17,Ross-shire
IV18,Ross-shire
IV19,Ross-shire
IV2,Inverness-shire
IV20,Ross-shire
IV21,Ross-shire
IV22,Ross-shire
IV23,Ross-shire
IV24,Sutherland
IV25,Sutherland
IV26,Cromartyshire
IV27,Sutherland
IV28,Sutherland
IV3,Inverness-shire
IV30,Morayshire
IV31,Morayshire
IV32,Morayshire
IV36,Morayshire
IV4,Ross-shire
IV40,Ross-shire
IV41,Inverness-shire
IV42,Inverness-shire
IV43,Inverness-shire
IV44,Inverness-shire
IV45,Inverness-shire
IV46,Inverness-shire
IV47,Inverness-shire
IV48,Inverness-shire
IV49,Inverness-shire
IV5,Inverness-shire
IV51,Inverness-shire
IV52,Ross-shire
IV53,Ross-shire
IV54,Ross-shire
IV55,Inverness-shire
IV56,Inverness-shire
IV6,Ross-shire
IV63,Inverness-shire
IV7,Ross-shire
IV8,Ross-shire
IV9,Ross-shire
IV99,Inverness-shire
KA1,Ayrshire
KA10,Ayrshire
KA11,Ayrshire
KA12,Ayrshire
KA13,Ayrshire
KA14,Ayrshire
KA15,Ayrshire
KA16,Ayrshire
KA17,Ayrshire
KA18,Ayrshire
KA19,Ayrshire
KA2,Ayrshire
KA20,Ayrshire
KA21,Ayrshire
KA22,Ayrshire
KA23,Ayrshire
KA24,Ayrshire
KA25,Ayrshire
KA26,Ayrshire
KA27,Buteshire
KA28,Buteshire
KA29,Ayrshire
KA3,Ayrshire
KA30,Ayrshire
KA4,Ayrshire
KA5,Ayrshire
KA6,Ayrshire
KA7,Ayrshire
KA8,Ayrshire
KA9,Ayrshire
KT1,Surrey
KT10,Surrey
KT11,Surrey
KT12,Surrey
KT13,Surrey
KT14,Surrey
KT15,Surrey
KT16,Surrey
KT17,Surrey
KT18,Surrey
KT19,Surrey
KT2,Surrey
KT20,Surrey
KT21,Surrey
KT22,Surrey
KT23,Surrey
KT24,Surrey
KT3,Surrey
KT4,Surrey
KT5,Surrey
KT6,Surrey
KT7,Surrey
KT8,Surrey
KT9,Surrey
KW1,Caithness
KW10,Sutherland
KW11,Sutherland
KW12,Caithness
KW13,Sutherland
KW14,Caithness
KW15,Orkney
KW16,Orkney
KW17,Orkney
KW2,Caithness
KW3,Caithness
KW5,Caithness
KW6,Caithness
KW7,Caithness
KW8,Sutherland
KW9,Sutherland
KY1,Fife
KY10,Fife
KY11,Fife
KY12,Fife
KY13,Kinross-shire
KY14,Fife
KY15,Fife
KY16,Fife
KY2,Fife
KY3,Fife
KY4,Fife
KY5,Fife
KY6,Fife
KY7,Fife
KY8,Fife
KY9,Fife
KY99,Fife
L1,Lancashire
L10,Lancashire
L11,Lancashire
L12,Lancashire
L13,Lancashire
L14,Lancashire
L15,Lancashire
L16,Lancashire
L17,Lancashire
L18,Lancashire
L19,Lancashire
L2,Lancashire
L20,Lancashire
L21,Lancashire
L22,Lancashire
L23,Lancashire
L24,Lancashire
L25,Lancashire
L26,Lancashire
L27,Lancashire
L28,Lancashire
L29,Lancashire
L3,Lancashire
L30,Lancashire
L31,Lancashire
L32,Lancashire
L33,Lancashire
L34,Lancashire
L35,Lancashire
L36,Lancashire
L37,Lancashire
L38,Lancashire
L39,Lancashire
L4,Lancashire
