outcode,county
GU12,Hampshire
GU14,Hampshire
GU15,Surrey
GU16,Surrey
GU17,Hampshire
GU18,Surrey
GU19,Surrey
GU2,Surrey
GU20,Surrey
GU21,Surrey
GU22,Surrey
GU23,Surrey
GU24,Surrey
GU25,Surrey
GU26,Surrey
GU27,Surrey
GU28,Sussex
GU29,Sussex
GU3,Surrey
GU30,Hampshire
GU31,Hampshire
GU32,Hampshire
GU33,Hampshire
GU34,Hampshire
GU35,Hampshire
GU4,Surrey
GU46,Hampshire
GU47,Berkshire
GU5,Surrey
GU51,Hampshire
GU52,Hampshire
GU6,Surrey
GU7,Surrey
GU8,Surrey
GU9,Surrey
HA0,Middlesex
HA1,Middlesex
HA2,Middlesex
HA3,Middlesex
HA4,Middlesex
HA5,Middlesex
HA6,Middlesex
HA7,Middlesex
HA8,Middlesex
HA9,Middlesex
HD1,Yorkshire
HD2,Yorkshire
HD3,Yorkshire
HD4,Yorkshire
HD5,Yorkshire
HD6,Yorkshire
HD7,Yorkshire
HD8,Yorkshire
HD9,Yorkshire
HG1,Yorkshire
HG2,Yorkshire
HG3,Yorkshire
HG4,Yorkshire
HG5,Yorkshire
HP1,Hertfordshire
HP10,Buckinghamshire
HP11,Buckinghamshire
HP12,Buckinghamshire
HP13,Buckinghamshire
HP14,Buckinghamshire
HP15,Buckinghamshire
HP16,Buckinghamshire
HP17,Buckinghamshire
HP18,Buckinghamshire
HP19,Buckinghamshire
HP2,Hertfordshire
HP20,Buckinghamshire
HP21,Buckinghamshire
HP22,Buckinghamshire
HP23,Hertfordshire
HP27,Buckinghamshire
HP3,Hertfordshire
HP4,Hertfordshire
HP5,Buckinghamshire
HP6,Buckinghamshire
HP7,Buckinghamshire
HP8,Buckinghamshire
HP9,Buckinghamshire
HR1,Herefordshire
HR2,Herefordshire
HR3,Brecknockshire
HR4,Herefordshire
HR5,Herefordshire
HR6,Herefordshire
HR7,Herefordshire
HR8,Herefordshire
HR9,Herefordshire
HS1,Ross-shire
HS2,Ross-shire
HS3,Inverness-shire
HS4,Inverness-shire
HS5,Inverness-shire
HS6,Inverness-shire
HS7,Inverness-shire
HS8,Inverness-shire
HS9,Inverness-shire
HU1,Yorkshire
HU10,Yorkshire
HU11,Yorkshire
HU12,Yorkshire
